year,rain_50m_pct,rain_sc_pct,totbal_50m_pct,totbal_sc_pct
2000,4.1272593,2.8199061000000003,8.7665201,11.1205927
2001,4.6142696,1.0960542,7.1483151,2.4276242
2002,1.6556676,0.0,2.8873083,0.9751566999999999
2003,0.7220145,0.0,2.6562116000000002,0.9150065000000001
2004,1.8441961999999998,0.5180281999999999,5.2466501,1.644534
2005,2.4598193,1.4822991,9.016673,10.514073999999999
2006,4.5532732,2.7217277,11.8015968,17.5148055
2007,4.7389176,2.554341,11.3277657,16.4650767
2008,4.8345024,1.3302374000000001,8.292192700000001,4.5362353
2009,2.7282626,0.0,4.5827935,2.0981576
2010,1.6383172000000001,2.1691974,4.488299,4.7878681
2011,1.7610590999999998,13.775352199999999,6.3684039,13.775352199999999
2012,2.4861302,5.2258556,7.9075326,17.328886299999997
2013,3.5580711000000003,6.2535283999999995,9.956752100000001,16.873397100000002
2014,4.5246132,6.443356,7.2928364,18.3804708
2015,4.9183113,6.5634629,9.204277600000001,17.3411592
2016,5.3396705,6.3862082000000004,9.7395795,15.753853900000001
2017,5.6136891,6.372375900000001,8.3156852,14.078869899999999
2018,6.5477341,6.445851800000001,11.7245839,15.0360988
2019,7.9296613,10.698582700000001,13.9937898,20.9857287
2020,8.4397036,13.681906099999999,12.711728899999999,20.9039417
2021,10.288484500000001,20.327701,27.1238984,43.0500482
2022,11.4841414,19.2505289,39.5078597,71.5488584
2023,12.2907098,7.156821100000001,34.8750473,58.1895453
2024,13.1808886,8.8092713,24.0709215,42.826844400000006
